n,p,runs,w_mean,w_std,w_min,w_max,d_mean,d_std,d_min,d_max
500,0.4,8,6.25,0.4629100498862757,6.0,7.0,6.375,0.5175491695067657,6.0,7.0
500,0.5,8,4.875,0.3535533905932738,4.0,5.0,4.625,0.7440238091428449,4.0,6.0
500,0.6,8,4.125,0.3535533905932738,4.0,5.0,3.25,0.4629100498862757,3.0,4.0
500,0.7,8,3.875,0.3535533905932738,3.0,4.0,3.0,0.0,3.0,3.0
500,0.8,8,3.0,0.0,3.0,3.0,2.0,0.0,2.0,2.0
500,0.9,7,2.4285714285714284,0.5345224838248488,2.0,3.0,1.4285714285714286,0.5345224838248488,1.0,2.0
750,0.005,8,272.875,6.812540956626557,264.0,282.0,669.875,5.19443383412888,661.0,675.0
750,0.0075,8,201.5,5.477225575051661,193.0,208.0,577.375,15.665590135252303,550.0,601.0
750,0.01,7,156.0,5.627314338711377,151.0,165.0,473.2857142857143,10.177004891982149,462.0,490.0
750,0.015,7,108.85714285714286,5.0142653642240695,98.0,113.0,322.57142857142856,10.845231561338265,305.0,339.0
750,0.02,7,85.0,3.872983346207417,80.0,90.0,231.85714285714286,10.652520381402256,215.0,245.0
750,0.03,7,57.285714285714285,2.563479777846623,54.0,61.0,142.0,10.14889156509222,128.0,159.0
750,0.04,7,45.0,1.9148542155126762,42.0,47.0,108.14285714285714,5.899959644736887,99.0,115.0
750,0.05,7,36.0,1.2909944487358056,34.0,38.0,80.71428571428571,3.401680257083045,77.0,87.0
750,0.06,7,31.571428571428573,1.7182493859684491,30.0,34.0,65.42857142857143,2.439750182371333,62.0,69.0
750,0.07,7,27.428571428571427,0.7867957924694432,27.0,29.0,53.42857142857143,2.2253945610567474,50.0,56.0
750,0.08,7,23.857142857142858,0.8997354108424374,23.0,25.0,46.714285714285715,2.811540841738193,43.0,51.0
750,0.09,7,21.714285714285715,1.7994708216848747,20.0,25.0,40.285714285714285,1.4960264830861913,39.0,43.0
750,0.1,7,19.428571428571427,0.9759000729485332,18.0,21.0,34.714285714285715,0.7559289460184545,34.0,36.0
750,0.1125,7,17.714285714285715,1.1126972805283737,17.0,20.0,31.285714285714285,1.7994708216848747,29.0,34.0
750,0.125,7,16.142857142857142,0.6900655593423543,15.0,17.0,27.428571428571427,1.511857892036909,26.0,30.0
750,0.15,7,13.428571428571429,0.5345224838248488,13.0,14.0,22.857142857142858,1.6761634196950514,21.0,25.0
750,0.175,7,12.428571428571429,0.5345224838248488,12.0,13.0,19.0,1.632993161855452,17.0,22.0
750,0.2,7,10.857142857142858,0.6900655593423543,10.0,12.0,15.428571428571429,0.7867957924694432,14.0,16.0
750,0.25,7,9.285714285714286,0.7559289460184545,8.0,10.0,11.857142857142858,0.6900655593423543,11.0,13.0
750,0.3,7,7.714285714285714,0.4879500364742666,7.0,8.0,9.142857142857142,0.37796447300922725,9.0,10.0
750,0.4,7,6.0,0.0,6.0,6.0,6.571428571428571,0.5345224838248488,6.0,7.0
750,0.5,7,5.0,0.5773502691896257,4.0,6.0,4.857142857142857,0.37796447300922725,4.0,5.0
750,0.6,7,4.428571428571429,0.5345224838248488,4.0,5.0,3.5714285714285716,0.5345224838248488,3.0,4.0
750,0.7,7,3.857142857142857,0.37796447300922725,3.0,4.0,3.0,0.0,3.0,3.0
750,0.8,7,3.142857142857143,0.37796447300922725,3.0,4.0,2.142857142857143,0.37796447300922725,2.0,3.0
750,0.9,7,2.7142857142857144,0.4879500364742666,2.0,3.0,1.7142857142857142,0.4879500364742666,1.0,2.0
1000,0.005,7,291.14285714285717,6.669047194029329,281.0,299.0,837.1428571428571,7.537209285241044,824.0,846.0
1000,0.0075,7,209.42857142857142,11.530497862294627,199.0,227.0,651.5714285714286,20.181320925195017,622.0,680.0
1000,0.01,7,156.0,5.446711546122731,148.0,162.0,492.2857142857143,17.055930402788405,472.0,517.0
1000,0.015,7,108.57142857142857,3.4572215654165053,105.0,113.0,319.14285714285717,8.050436249640377,306.0,329.0
1000,0.02,7,86.42857142857143,3.5523298860110977,82.0,91.0,239.0,7.958224257542215,230.0,253.0
1000,0.03,7,59.285714285714285,2.627691364061218,56.0,63.0,148.42857142857142,4.035556254807296,143.0,155.0
1000,0.04,7,45.57142857142857,2.699206232527312,42.0,49.0,106.42857142857143,2.63673679998231,103.0,110.0
1000,0.05,7,36.0,1.5275252316519468,35.0,39.0,81.0,2.160246899469287,78.0,84.0
1000,0.06,7,30.571428571428573,0.7867957924694432,29.0,31.0,64.71428571428571,1.3801311186847085,63.0,66.0
1000,0.07,7,27.857142857142858,2.1157009420498154,26.0,32.0,55.0,1.7320508075688772,53.0,57.0
1000,0.08,7,24.714285714285715,1.1126972805283737,23.0,26.0,48.0,1.2909944487358056,46.0,50.0
1000,0.09,7,22.0,0.5773502691896257,21.0,23.0,40.857142857142854,1.3451854182690985,39.0,43.0
1000,0.1,7,20.285714285714285,1.2535663410560174,19.0,23.0,36.57142857142857,2.5727509827124,34.0,42.0
1000,0.1125,7,18.714285714285715,0.7559289460184545,18.0,20.0,31.714285714285715,1.3801311186847085,29.0,33.0
1000,0.125,7,16.714285714285715,0.7559289460184545,16.0,18.0,28.0,1.2909944487358056,26.0,30.0
1000,0.15,7,14.428571428571429,0.7867957924694432,13.0,15.0,22.428571428571427,1.2724180205607036,20.0,24.0
1000,0.175,7,12.285714285714286,0.9511897312113419,11.0,13.0,18.285714285714285,1.1126972805283737,17.0,20.0
1000,0.2,7,11.428571428571429,0.5345224838248488,11.0,12.0,15.714285714285714,0.4879500364742666,15.0,16.0
1000,0.25,7,9.285714285714286,0.9511897312113419,8.0,10.0,12.0,1.0,11.0,14.0
1000,0.3,7,8.0,0.5773502691896257,7.0,9.0,10.0,0.5773502691896257,9.0,11.0
1000,0.4,7,6.142857142857143,0.37796447300922725,6.0,7.0,6.285714285714286,0.4879500364742666,6.0,7.0
1000,0.5,7,5.142857142857143,0.37796447300922725,5.0,6.0,4.714285714285714,0.4879500364742666,4.0,5.0
1000,0.6,7,4.285714285714286,0.4879500364742666,4.0,5.0,3.5714285714285716,0.5345224838248488,3.0,4.0
1000,0.7,7,4.0,0.0,4.0,4.0,3.0,0.0,3.0,3.0
1000,0.8,7,3.0,0.0,3.0,3.0,2.0,0.0,2.0,2.0
1000,0.9,7,2.5714285714285716,0.5345224838248488,2.0,3.0,1.5714285714285714,0.5345224838248488,1.0,2.0
1250,0.005,7,299.14285714285717,3.0783421635988546,294.0,303.0,962.2857142857143,14.360992139754664,940.0,987.0
1250,0.0075,7,212.57142857142858,6.294366339755546,203.0,219.0,702.1428571428571,16.96494986168612,671.0,726.0
1250,0.01,7,160.14285714285714,6.362090102803518,152.0,168.0,512.2857142857143,21.468692598869684,481.0,547.0
1250,0.015,7,111.42857142857143,2.878491668515698,107.0,115.0,330.7142857142857,9.961831921795069,316.0,345.0
1250,0.02,7,84.71428571428571,5.1869800370506445,79.0,92.0,236.85714285714286,8.513294924774454,224.0,246.0
1250,0.03,7,56.57142857142857,0.7867957924694432,55.0,57.0,146.42857142857142,3.779644730092272,140.0,151.0
1250,0.04,7,46.0,1.632993161855452,44.0,48.0,108.28571428571429,4.111540089159037,104.0,116.0
1250,0.05,7,37.285714285714285,2.690370836538197,34.0,41.0,84.85714285714286,3.3380918415851206,81.0,88.0
1250,0.06,7,32.285714285714285,1.3801311186847085,31.0,34.0,66.85714285714286,2.1157009420498154,65.0,70.0
1250,0.07,7,28.142857142857142,1.6761634196950514,26.0,31.0,56.142857142857146,3.1847852585154217,53.0,61.0
1250,0.08,7,23.857142857142858,0.6900655593423543,23.0,25.0,47.142857142857146,1.3451854182690985,45.0,49.0
1250,0.09,7,22.428571428571427,0.7867957924694432,21.0,23.0,39.857142857142854,1.6761634196950514,38.0,42.0
1250,0.1,7,19.857142857142858,1.2149857925879117,18.0,21.0,35.57142857142857,1.3972762620115438,33.0,37.0
1250,0.1125,7,17.714285714285715,0.4879500364742666,17.0,18.0,31.571428571428573,1.8126539343499315,29.0,34.0
1250,0.125,7,17.142857142857142,1.0690449676496976,15.0,18.0,28.428571428571427,1.511857892036909,26.0,31.0
1250,0.15,7,14.571428571428571,0.9759000729485332,13.0,16.0,22.142857142857142,1.9518001458970664,20.0,26.0
1250,0.175,7,12.857142857142858,1.2149857925879117,12.0,15.0,19.571428571428573,1.511857892036909,18.0,22.0
1250,0.2,7,11.571428571428571,0.5345224838248488,11.0,12.0,16.0,1.0,15.0,17.0
1250,0.25,7,9.428571428571429,0.5345224838248488,9.0,10.0,12.285714285714286,1.1126972805283737,11.0,14.0
1250,0.3,7,8.428571428571429,0.7867957924694432,7.0,9.0,9.857142857142858,1.3451854182690985,8.0,12.0
1250,0.4,7,6.428571428571429,0.5345224838248488,6.0,7.0,6.857142857142857,0.37796447300922725,6.0,7.0
1250,0.5,7,5.0,0.0,5.0,5.0,4.857142857142857,0.6900655593423543,4.0,6.0
1250,0.6,7,4.571428571428571,0.5345224838248488,4.0,5.0,3.857142857142857,0.37796447300922725,3.0,4.0
1250,0.7,7,3.857142857142857,0.37796447300922725,3.0,4.0,3.0,0.0,3.0,3.0
1250,0.8,7,3.0,0.0,3.0,3.0,2.0,0.0,2.0,2.0
1250,0.9,7,2.857142857142857,0.37796447300922725,2.0,3.0,1.8571428571428572,0.37796447300922725,1.0,2.0
1500,0.005,7,313.14285714285717,8.591246929842246,306.0,332.0,1057.0,13.832329280830953,1040.0,1077.0
1500,0.0075,7,215.85714285714286,5.3363086938623105,209.0,224.0,727.2857142857143,15.776715814920477,699.0,745.0
1500,0.01,7,163.28571428571428,6.799859942535231,154.0,172.0,525.1428571428571,17.84590122342356,498.0,547.0
1500,0.015,7,114.85714285714286,4.140393356054125,109.0,120.0,336.85714285714283,6.792853387410709,327.0,348.0
1500,0.02,7,85.57142857142857,2.5071326821120348,82.0,89.0,238.42857142857142,8.810167286666447,226.0,251.0
1500,0.03,7,59.142857142857146,2.0354009783964297,56.0,63.0,153.57142857142858,5.472876844254852,147.0,164.0
1500,0.04,7,46.0,1.0,45.0,47.0,110.57142857142857,3.5989416433697494,107.0,116.0
1500,0.05,7,37.0,1.5275252316519468,35.0,40.0,85.42857142857143,2.819996622760558,82.0,89.0
1500,0.06,7,31.857142857142858,1.3451854182690985,29.0,33.0,66.85714285714286,3.132015933791495,61.0,70.0
1500,0.07,7,27.857142857142858,0.6900655593423543,27.0,29.0,56.857142857142854,2.0354009783964297,55.0,61.0
1500,0.08,7,24.142857142857142,0.6900655593423543,23.0,25.0,47.857142857142854,1.3451854182690985,46.0,50.0
1500,0.09,7,23.428571428571427,1.1338934190276817,22.0,25.0,43.57142857142857,1.8126539343499315,41.0,45.0
1500,0.1,7,20.285714285714285,0.9511897312113419,19.0,22.0,37.57142857142857,2.2253945610567474,34.0,40.0
1500,0.1125,7,18.857142857142858,0.8997354108424374,17.0,20.0,32.57142857142857,1.511857892036909,30.0,34.0
1500,0.125,7,17.0,1.0,16.0,19.0,28.0,1.2909944487358056,26.0,30.0
1500,0.15,7,15.285714285714286,1.2535663410560174,14.0,17.0,23.0,1.4142135623730951,22.0,26.0
1500,0.175,7,12.571428571428571,0.5345224838248488,12.0,13.0,18.714285714285715,0.9511897312113419,17.0,20.0
1500,0.2,7,11.428571428571429,0.5345224838248488,11.0,12.0,16.285714285714285,0.4879500364742666,16.0,17.0
1500,0.25,7,9.571428571428571,0.7867957924694432,9.0,11.0,12.0,0.816496580927726,11.0,13.0
1500,0.3,7,8.142857142857142,0.6900655593423543,7.0,9.0,9.714285714285714,0.9511897312113419,9.0,11.0
1500,0.4,7,6.571428571428571,0.7867957924694432,6.0,8.0,6.714285714285714,0.7559289460184545,6.0,8.0
1500,0.5,7,5.428571428571429,0.5345224838248488,5.0,6.0,4.714285714285714,0.4879500364742666,4.0,5.0
1500,0.6,7,4.428571428571429,0.5345224838248488,4.0,5.0,3.857142857142857,0.37796447300922725,3.0,4.0
1500,0.7,7,3.857142857142857,0.37796447300922725,3.0,4.0,3.0,0.0,3.0,3.0
1500,0.8,7,3.142857142857143,0.37796447300922725,3.0,4.0,2.142857142857143,0.37796447300922725,2.0,3.0
1500,0.9,7,2.5714285714285716,0.5345224838248488,2.0,3.0,1.5714285714285714,0.5345224838248488,1.0,2.0
2000,0.005,7,322.0,8.717797887081348,311.0,337.0,1155.5714285714287,24.364298627685706,1120.0,1186.0
2000,0.0075,7,217.57142857142858,2.9358214555806383,215.0,223.0,733.5714285714286,11.193110125685099,720.0,753.0
2000,0.01,7,165.28571428571428,3.352326839390103,162.0,172.0,534.2857142857143,14.302846869467231,518.0,558.0
2000,0.015,7,117.0,3.4641016151377544,113.0,123.0,339.85714285714283,7.104659772022195,326.0,347.0
2000,0.02,7,86.57142857142857,2.5071326821120348,82.0,90.0,240.14285714285714,7.646972634722219,232.0,254.0
2000,0.03,7,60.857142857142854,1.6761634196950514,58.0,63.0,151.57142857142858,3.735288603626359,146.0,157.0
2000,0.04,7,46.857142857142854,2.5448360411214073,44.0,51.0,112.28571428571429,4.923220007078217,104.0,118.0
2000,0.05,7,39.142857142857146,1.3451854182690985,37.0,41.0,84.57142857142857,1.2724180205607036,83.0,87.0
2000,0.06,7,33.285714285714285,1.1126972805283737,32.0,35.0,67.14285714285714,0.6900655593423543,66.0,68.0
2000,0.07,7,28.142857142857142,1.2149857925879117,27.0,30.0,58.142857142857146,3.625307868699863,54.0,64.0
2000,0.08,7,24.857142857142858,0.6900655593423543,24.0,26.0,48.57142857142857,1.7182493859684491,46.0,51.0
2000,0.09,7,23.428571428571427,1.511857892036909,22.0,26.0,43.714285714285715,2.2146697055682827,41.0,48.0
2000,0.1,6,21.166666666666668,1.1690451944500122,20.0,23.0,37.0,1.2649110640673518,35.0,38.0
2000,0.1125,6,19.666666666666668,1.0327955589886446,18.0,21.0,32.833333333333336,1.9407902170679516,30.0,35.0
2000,0.125,7,17.428571428571427,0.7867957924694432,17.0,19.0,28.428571428571427,1.2724180205607036,27.0,31.0
2000,0.15,6,14.5,0.8366600265340756,14.0,16.0,23.166666666666668,0.752772652709081,22.0,24.0
2000,0.175,6,13.333333333333334,0.816496580927726,13.0,15.0,19.166666666666668,0.752772652709081,18.0,20.0
2000,0.2,6,11.5,0.5477225575051661,11.0,12.0,16.833333333333332,0.752772652709081,16.0,18.0
2000,0.25,6,9.166666666666666,0.408248290463863,9.0,10.0,12.166666666666666,0.408248290463863,12.0,13.0
2000,0.3,6,8.166666666666666,0.408248290463863,8.0,9.0,10.0,0.0,10.0,10.0
2000,0.4,6,6.333333333333333,0.5163977794943223,6.0,7.0,6.5,0.5477225575051661,6.0,7.0
2000,0.5,6,5.166666666666667,0.408248290463863,5.0,6.0,5.166666666666667,0.752772652709081,4.0,6.0
2000,0.6,6,4.5,0.5477225575051661,4.0,5.0,4.0,0.0,4.0,4.0
2000,0.7,6,3.8333333333333335,0.408248290463863,3.0,4.0,3.0,0.0,3.0,3.0
2000,0.8,6,3.1666666666666665,0.408248290463863,3.0,4.0,2.3333333333333335,0.5163977794943223,2.0,3.0
2000,0.9,6,3.0,0.0,3.0,3.0,2.0,0.0,2.0,2.0
